dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code,file_name,ingest_timestamp
2025-08-01,2025-08-01 22:53:52,CUST000000241190,643611,1,2000000028279,1,GBP,11,10%,2,web,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 22:53:52,CUST000000241190,643611,2,2000000377445,1,GBP,5,4%,1,web,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 09:44:32,CUST000000239553,643612,1,2000000417639,4,INR,4871,8%,3245,web,FEST20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:45:03,CUST000000175269,643613,1,2000000422664,Two,AED,74,0%,18,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:45:03,CUST000000175269,643613,2,2000000238159,1,AED,1012,11%,109,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:45:03,CUST000000175269,643613,3,2000000094205,Two,AED,229,15%,20,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:45:03,CUST000000175269,643613,4,2000000293790,Two,AED,2222,0%,801,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 21:09:10,CUST000000117094,643614,1,2000000271415,3,INR,252,10%,82,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 13:03:57,CUST000000016826,643615,1,2000000050980,1,GBP,71,5%,9,web,SAVE50,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 17:54:51,CUST000000252796,643616,1,2000000463254,1,USD,$6,9%,1,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 07:10:38,CUST000000160192,643617,1,2000000354446,1,GBP,27,6%,2,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 20:03:13,CUST000000255825,643618,1,2000000482361,1,INR,1821,8%,202,app,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:44:58,CUST000000016166,643619,1,2000000248226,Two,INR,13147,14%,1135,app,FEST20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:44:58,CUST000000016166,643619,2,2000000473307,1,INR,14139,24%,1282,app,FEST20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:44:58,CUST000000016166,643619,3,2000000277660,1,INR,108633,3%,5284,app,FEST20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 04:44:58,CUST000000016166,643619,4,2000000446011,1,INR,1287,10%,58,app,FEST20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 10:02:45,CUST000000032780,643620,1,2000000488639,1,SGD,10,5%,2,web,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 06:27:03,CUST000000043065,643621,1,2000000160061,1,INR,3344,6%,379,web,PRIME5,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 06:27:03,CUST000000043065,643621,2,2000000476865,1,INR,2352,1%,279,web,PRIME5,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 05:26:17,CUST000000177564,643622,1,2000000403618,Two,INR,3306,28%,571,app,FEST20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
2025-08-01,2025-08-01 15:31:44,CUST000000197675,643623,1,2000000031262,4,GBP,158,7%,30,web,FEST20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z
