brand_code,brand_name,category_code,_source_file,ingested_at
ACME,AcmeTech,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
NOVW,NovaWave,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
ZNTH,Zenith,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
BYTM,ByteMax,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
ECOT,EcoTone,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
SKYL,SkyLink,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
VOLT,VoltEdge,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
PHTX,Photonix,CE,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
URTL,UrbanTrail,APP,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
COTC,CottonClub,APP,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
FTFX,FitFlex,APP,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
ABLF,AmberLeaf,APP,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
MOSA,Mosaic,APP,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
NTHR,NorthThread,APP,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
CBLT,CobaltWear,APP,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
CKMT,CookMate,HNK,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
HMNS,HomeNest,HNK,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
PRLV,PureLiving,HNK,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
CSNV,CasaNova,HNK,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
AQPR,AquaPure,HNK,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
STCR,SteelCraft,HNK,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
WRMH,WarmHearth,HNK,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
GLOW,GlowOn,BPC,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
HRBC,HerbaCare,BPC,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
DMLX,DermaLux,BPC,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
SLKE,SilkEssence,BPC,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
ALMS,AloeMist,BPC,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
BTNQ,Botaniq,BPC,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
BLIN,BlueInk,BKS,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
PGTR,PageTurner,BKS,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
RDMR,ReadMore,BKS,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
QLHS,QuillHouse,BKS,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
STAC,StoryArc,BKS,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
LFSP,Leaf&Spine,BKS,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
FRFL,FreshFields,GRCY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
DLHV,DailyHarvest,GRCY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
GRBK,GreenBasket,GRCY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
NTCH,NutriChoice,GRCY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
GGRN,GoodGrain,GRCY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
FRMJ,FarmJoy,GRCY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
PLCB,PlayCube,TOY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
HPFN,HappyFun,TOY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
GMFG,GameForge,TOY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
KDLN,KiddoLand,TOY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
TNGR,TinyGears,TOY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
RKBR,RocketBear,TOY,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
PRSD,ProStride,SPT,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
TRBZ,TrailBlazer,SPT,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
ARFT,AeroFit,SPT,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
PKPR,PeakPro,SPT,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
SMLN,SummitLine,SPT,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
SWCR,SwiftCore,SPT,dbfs:/Volumes/ecommerce/source_data/raw/brands/brands.csv,2026-09-09T23:30:18.270Z
