product_id,sku,category_code,brand_code,color,size,material,weight_grams,length_cm,width_cm,height_cm,rating_count,file_name,ingest_timestamp
2000000000015,STCR-HNK-00001,HNK,STCR,White,One-Size,Cotton,305,22.2,17.1,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000022,HMNS-HNK-00002,HNK,HMNS,Silver,One-Size,Steel,682,18.2,12.3,3.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000039,NOVW-CE-00003,CE,NOVW,Purple,One-Size,Wood,243,18.2,13.9,4.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000046,URTL-APP-00004,APP,URTL,Silver,S,Rubber,225,17.6,4.6,5.8,50,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000053,GGRN-GRC-00005,GRCY,GGRN,Silver,One-Size,Rubber,455,27.2,15.8,7.4,4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000060,SLKE-BPC-00006,BPC,SLKE,Purple,One-Size,Plastic,232,28,13.8,6.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000077,VOLT-CE-00007,CE,VOLT,Blue,One-Size,Plastic,507,27.2,12.1,6.4,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000084,CBLT-APP-00008,APP,CBLT,Blue,XS,Polyester,261,27.7,8.5,7,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000091,ARFT-SPT-00009,SPT,ARFT,Blue,XL,Plastic,59,12.5,19,7.9,11,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000107,MOSA-APP-0000A,APP,MOSA,White,L,Polyester,238,10.7,17.7,10.3,6,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000114,CBLT-APP-0000B,APP,CBLT,Navy,XL,Glass,451,20.1,10.2,9.9,13,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000121,RKBR-TOY-0000C,TOY,RKBR,White,One-Size,Cotton,432,10.2,13.1,11.9,10,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000138,GMFG-TOY-0000D,TOY,GMFG,White,One-Size,Aluminum,573,21.8,16.2,8.5,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000145,GRBK-GRC-0000E,GRCY,GRBK,Yellow,One-Size,Glass,435,35.2,10.8,5.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000152,DMLX-BPC-0000F,BPC,DMLX,Silver,One-Size,Plastic,238,12.3,16.9,8.1,24,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000169,GGRN-GRC-0000G,GRCY,GGRN,Navy,One-Size,Steel,135,7.9,9.8,10.6,61,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000176,ZNTH-CE-0000H,CE,ZNTH,Yellow,One-Size,Wood,253,27,17.3,5.1,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000183,BTNQ-BPC-0000I,BPC,BTNQ,Blue,One-Size,Cotton,477,25.2,10.4,10.3,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000190,SKYL-CE-0000J,CE,SKYL,Green,One-Size,Plastic,193,32.5,12.6,9.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000206,GGRN-GRC-0000K,GRCY,GGRN,Beige,One-Size,Glass,76,13.8,20.3,7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000213,ABLF-APP-0000L,APP,ABLF,Navy,L,Steel,593,14.3,14.2,10.3,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000220,HRBC-BPC-0000M,BPC,HRBC,Beige,One-Size,Rubber,176,20.5,23.7,9.2,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000237,BTNQ-BPC-0000N,BPC,BTNQ,Purple,One-Size,Wood,1089,4.4,11.2,9.8,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000244,GRBK-GRC-0000O,GRCY,GRBK,Silver,One-Size,Steel,190,27.6,19.3,9.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000251,PLCB-TOY-0000P,TOY,PLCB,Black,One-Size,Polyester,210,28.8,16.1,10.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
